Time,North,South,East,West,Central
1:00 AM,99,103,99,92,97
2:00 AM,99,103,99,92,97
3:00 AM,99,104,99,92,98
4:00 AM,99,104,100,92,98
5:00 AM,99,104,100,92,98
6:00 AM,100,104,100,92,98
7:00 AM,100,105,101,91,98
8:00 AM,101,105,101,92,98
9:00 AM,102,105,100,93,98
10:00 AM,102,105,100,94,97
11:00 AM,102,105,99,95,97
12:00 PM,101,105,98,96,96
1:00 PM,101,104,98,97,96
2:00 PM,99,103,97,97,95
3:00 PM,98,102,95,98,94
4:00 PM,96,99,94,97,92
5:00 PM,94,98,93,97,91
6:00 PM,94,98,93,96,91
7:00 PM,94,97,92,95,90
8:00 PM,93,95,91,95,89
9:00 PM,91,94,89,93,88
10:00 PM,90,92,88,92,87
11:00 PM,88,90,86,90,85
12:00 AM,86,88,84,89,83